raw_name,canonical_name,confidence_score,resolution_method,source_context,resolved_at
DeepMark,DeepMark,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.503523+00:00
Maritime,Maritime,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.505639+00:00
Redoubt Insurance,Redoubt Insurance,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.508215+00:00
The Agentic Data Co.,The Agentic Data,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.510505+00:00
Frontrunner,Frontrunner,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.512399+00:00
The Subvocal Company,The Subvocal,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.514796+00:00
Quippy,Quippy,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.516122+00:00
Sona8,Sona8,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.517541+00:00
Sinter,Sinter,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.518967+00:00
Vyra,Vyra,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.521254+00:00
antimattr,Antimattr,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.524101+00:00
Hesper AI,Hesper AI,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.525957+00:00
Covera,Covera,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.527584+00:00
Halmos Labs,Halmos,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.529103+00:00
Dreamscale Labs,Dreamscale,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.531896+00:00
Vorelios,Vorelios,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.536028+00:00
SuperRadiant,SuperRadiant,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.538695+00:00
Orca Aerospace,Orca Aerospace,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.541100+00:00
Hemlock,Hemlock,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.542656+00:00
ORO AI,Oro Ai,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.544295+00:00
Deploy,Deploy,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.545712+00:00
Shepherd Robotics,Shepherd Robotics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.548384+00:00
Workers IO,Workers IO,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.550441+00:00
Antropi Robotics,Antropi Robotics,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.552837+00:00
ByteAsk,ByteAsk,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.554430+00:00
Hopper,Hopper,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.555819+00:00
Asakana,Asakana,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.557319+00:00
OnePatch,OnePatch,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.559170+00:00
Mirrors,Mirrors,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.560705+00:00
Nodus Compute,Nodus Compute,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.562798+00:00
Micora,Micora,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.564427+00:00
Lantern AI,Lantern AI,0.9,NEW_CANONICAL,Y Combinator,2026-09-12T07:59:50.566433+00:00
