schemaVersion,recordType,source.name,job_url,title,content.company,content.date,content.is_remote,content.role_family,location,collectedAt
1.0,JOB,Jobicy,https://jobicy.com/jobs/150012-his-sales-strategy-executive-ambulatory-care-revenue-cycle,HIS Sales Strategy Executive – Ambulatory Care Revenue Cycle,Tech,2026-09-10T05:30:08+00:00,True,Engineering,,2026-09-10T15:31:42.585167+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/151935-ai-engineer-fde-forward-deployed-engineer-2,AI Engineer – FDE (Forward Deployed Engineer),Tech,2026-09-10T05:10:07+00:00,True,AI / Machine Learning,,2026-09-10T15:31:42.585260+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/149016-independent-contractor-osha-general-industry-consultant,Independent Contractor – OSHA General Industry Consultant,Tech,2026-09-10T04:35:23+00:00,True,Engineering,,2026-09-10T15:31:42.585346+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/149013-junior-program-control-analyst,Junior Program Control Analyst,Tech,2026-09-10T04:35:21+00:00,True,Engineering,,2026-09-10T15:31:42.585421+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/149010-medical-health-physicist,Medical Health Physicist,Tech,2026-09-10T04:35:20+00:00,True,Engineering,,2026-09-10T15:31:42.585493+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/149008-chief-information-security-officer,Chief Information Security Officer,Tech,2026-09-10T04:35:19+00:00,True,Engineering,,2026-09-10T15:31:42.585583+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/149007-procurement-analyst,Procurement Analyst,Tech,2026-09-10T04:35:17+00:00,True,Engineering,,2026-09-10T15:31:42.585653+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/149033-strategic-customer-success-manager-martech-adtech-us,"Strategic Customer Success Manager – MarTech / AdTech, US",Tech,2026-09-10T04:35:11+00:00,True,Engineering,,2026-09-10T15:31:42.585727+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/145652-senior-product-manager-smart-metering-steering-m-f-d,(Senior) Product Manager Smart Metering & Steering (m/f/d),Tech,2026-09-10T04:35:10+00:00,True,Product Management,,2026-09-10T15:31:42.585799+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/145581-enterprise-account-executive-6,Enterprise Account Executive,Tech,2026-09-10T04:35:08+00:00,True,Engineering,,2026-09-10T15:31:42.585867+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/149035-customer-solutions-architect-amazon-connect,"Customer Solutions Architect, Amazon Connect",Tech,2026-09-10T04:35:07+00:00,True,Engineering,,2026-09-10T15:31:42.585935+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/149032-senior-customer-success-manager-public-sector,Senior Customer Success Manager- Public Sector,Tech,2026-09-10T04:35:06+00:00,True,Engineering,,2026-09-10T15:31:42.586039+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/149031-customer-support-systems-analytics-lead,Customer Support Systems & Analytics Lead,Tech,2026-09-10T04:35:04+00:00,True,Engineering,,2026-09-10T15:31:42.586110+00:00
