schemaVersion,recordType,source.name,source.url,content.title,content.published_date,summary,category,collectedAt
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/10/ai-agents-are-flooding-public-services-with-new-requests/,AI agents are flooding public services with new requests,2026-09-10T14:53:50+00:00,"“The vast majority of cases we find are people who are entitled to claim for something, claiming for that thing,” the researcher told TechCrunch.",Artificial Intelligence,2026-09-10T15:31:41.763722+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/10/maven-robotics-wants-to-steal-your-robot-deployment-deal/,Maven Robotics wants to steal your robot deployment deal,2026-09-10T14:17:37+00:00,Maven Robotics emerged from stealth today with a $100 million Series A and active deployments.,Artificial Intelligence,2026-09-10T15:31:41.763921+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/09/ai-research-startup-listen-labs-scrubbed-a-1-5b-funding-round-for-salesforce-talks/,AI research startup Listen Labs scrubbed a $1.5B funding round for Salesforce talks,2026-09-10T00:00:37+00:00,"Listen Labs walked away from a signed Series C term sheet from Menlo Ventures, sources say.",Artificial Intelligence,2026-09-10T15:31:41.764087+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/09/openai-adds-a-prominent-ai-doomer-to-its-board-of-directors/,OpenAI adds a prominent AI doomer to its board of directors,2026-09-09T22:25:22+00:00,"Paul Christiano, an influential AI researcher focused on alignment, is joining the OpenAI Foundation as a member of its board.",Artificial Intelligence,2026-09-10T15:31:41.764244+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/09/massachusetts-hits-data-centers-with-new-clean-power-rules/,Massachusetts hits data centers with new clean power rules,2026-09-09T21:43:34+00:00,Massachusetts has become the third state in as many months to slap new restrictions on data center development.,Artificial Intelligence,2026-09-10T15:31:41.764414+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/09/apple-watchs-new-ai-features-are-normalizing-the-idea-that-technology-is-always-listening/,Apple Watch’s new AI features are normalizing the idea that technology is always listening,2026-09-09T20:24:48+00:00,"Apple says its new watches won’t save raw audio, but features that can transcribe recent speech and summarize ambient conversations raise new questions about consent, privacy, and how people behave when they know they could always be recorded.",Artificial Intelligence,2026-09-10T15:31:41.764597+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/09/everything-apple-announced-at-its-fall-iphone-event-from-the-foldable-iphone-duo-to-an-always-listening-apple-watch/,"Everything Apple announced at its fall iPhone event, from the foldable iPhone Duo to an always-listening Apple Watch",2026-09-09T20:03:43+00:00,"The main event was the tech giant's highly anticipated first foldable phone, the iPhone Duo.",Artificial Intelligence,2026-09-10T15:31:41.764771+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/09/the-hinge-for-apples-new-foldable-phone-was-built-with-ai/,The hinge for Apple’s new foldable phone was built with AI,2026-09-09T19:21:48+00:00,Apple says it used AI and 3D printing in the manufacturing process for its long-awaited foldable phone.,Artificial Intelligence,2026-09-10T15:31:41.764935+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/09/apples-revamped-health-app-will-calculate-your-health-age-and-readiness-score/,Apple’s revamped Health app will calculate your ‘health age’ and readiness score,2026-09-09T18:16:29+00:00,The update uses Apple Intelligence to make better sense of your health data.,Artificial Intelligence,2026-09-10T15:31:41.765082+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/09/apple-has-a-new-way-prove-your-iphone-photos-arent-ai-slop/,Apple has a new way to prove your iPhone photos aren’t AI slop,2026-09-09T18:08:35+00:00,"Apple introduced Apple Reference Image to help users determine whether photos have been edited, including alterations made by AI.",Artificial Intelligence,2026-09-10T15:31:41.765229+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/09/apple-ceo-john-ternus-says-the-best-ai-device-is-still-the-iphone/,Apple CEO John Ternus says the best AI device is still the iPhone,2026-09-09T17:36:05+00:00,The company also argued that its on-device models offer consumers more privacy.,Artificial Intelligence,2026-09-10T15:31:41.765373+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/video/superintelligence-is-coming-should-we-let-it/,Superintelligence is coming. Should we let it?,2026-09-09T16:05:35+00:00,"AI companies have been talking about superintelligent AI like it’s inevitable, but recent safety incidents like OpenAI’s Hugging Face breach are demonstrating the potential dangers of deploying AI systems that are more capable than humans. So what happens when we can’t reliably control what these systems do? On this episode of TechCrunch’s Equity p",Artificial Intelligence,2026-09-10T15:31:41.765671+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/podcast/controlais-connor-leahy-on-why-superintelligence-is-not-a-weapon-its-an-adversary/,"ControlAI’s Connor Leahy on why superintelligence is ‘not a weapon, it’s an adversary’",2026-09-09T15:50:13+00:00,"AI companies have been talking about superintelligent AI like it’s inevitable, but recent safety incidents like OpenAI’s Hugging Face breach are demonstrating the potential dangers of deploying AI systems that are more capable than humans. So what happens when we can’t reliably control what these systems do? On this episode of TechCrunch’s Equity p",Artificial Intelligence,2026-09-10T15:31:41.765929+00:00
1.0,NEWS,MIT Technology Review,https://www.technologyreview.com/2026/09/10/1141649/powering-ai-is-an-architecture-problem/,Powering AI is an architecture problem,2026-09-10T11:00:00+00:00,"On July 22, 2026, a transmission line fault in Ashburn, Virginia—the heart of the world’s largest data center cluster—knocked more than 3 gigawatts of load off the grid in seconds. And it wasn’t the first time. Two years earlier, a single failed surge arrester dropped roughly 60 Virginia facilities and 1,500 megawatts at once. No…",Artificial Intelligence,2026-09-10T15:31:41.804647+00:00
1.0,NEWS,Artificial Intelligence News,https://www.artificialintelligence-news.com/news/jd-com-physical-ai-logistics-3-million-robots/,JD.com expands physical AI in logistics with 3 million robots,2026-09-10T10:00:00+00:00,"JD.com is expanding AI and robotics across its logistics network under a new Physical AI Acceleration Plan, while reiterating a five-year target to procure 3 million robots, 1 million autonomous vehicles, and 100,000 delivery drones. The company launched the plan at JDDiscovery 2026 in Beijing. JD Logistics also unveiled its industrial Wolf Robot s",Artificial Intelligence,2026-09-10T15:31:43.373872+00:00
